147	3	4.443873
147	1	3.743387
147	6	1.698736
149	1	5.626334
149	2	3.762944
150	1	3.620612
150	6	2.640848
152	1	6.535275
152	4	4.636199
153	2	5.547548
153	1	4.618179
154	4	3.962767
154	5	3.885787
154	2	3.118989
155	3	4.541394
155	4	4.503071
156	5	5.951002
156	3	5.056333
156	4	4.242974
158	6	4.107858
158	4	3.298420
159	6	5.393910
159	4	4.465617
161	4	4.535358
162	6	4.622776
162	5	3.993343
162	3	3.862212
163	5	6.071759
163	6	4.379725
164	4	5.436949
165	2	4.941010
165	5	4.941010
167	6	3.815698
167	2	3.029846
167	5	2.973420
168	4	2.781292
169	1	2.714836
171	4	4.519445
171	2	3.708508
171	3	2.930821
171	6	2.154615
172	1	4.549585
172	5	4.448085
174	1	2.843415
175	3	6.080673
175	5	5.184029
175	1	2.602162
176	2	2.459943
178	2	3.849719
178	4	3.172063
178	1	3.158910
178	5	3.136856
179	3	4.606547
181	6	1.631708
183	1	3.426593
184	6	5.483039
186	1	5.589905
187	5	4.516521
187	2	3.683937
188	6	3.413054
189	2	6.645765
191	6	2.710779
193	1	4.355684
193	6	4.252351
194	3	4.451483
194	6	1.680170
195	3	5.577195
196	4	4.761389
199	2	4.470793
199	3	3.411653
199	6	0.820218
201	2	4.193636
203	1	1.879980
204	3	5.277315
205	1	5.723614
207	4	4.784603
208	1	5.599420
209	2	4.604599
210	3	4.989560
212	2	4.428897
214	5	5.659786
214	3	4.073774
215	5	4.586687
216	5	4.488466
216	2	3.519350
218	2	4.580812
218	1	2.805508
219	5	4.024895
219	2	2.402083
